artist,url,life,artworks
Hans von Aachen,/en/hans-von-aachen,1552 - 1615,41
Vilmos Aba-Novak,/en/vilmos-aba-novak,1894 - 1941,21
Reza Abbasi,/en/reza-abbasi,c.1565 - c.1635,17
Louise Abbéma,/en/louise-abbema,1853 - 1927,38
Edwin Austin Abbey,/en/edwin-austin-abbey,1852 - 1911,23
Elenore Abbott,/en/elenore-abbott,1875 - c.1935,14
Lemuel Francis Abbott,/en/lemuel-francis-abbott,c.1760 - 1802,40
Douglas Abdell,/en/douglas-abdell,born 1947,48
Basuki Abdullah,/en/basuki-abdullah,1915 - 1993,43
Zainul Abedin,/en/zainul-abedin,1914 - 1976,10
Mher Abeghian,/en/mher-abeghian,1909 - 1994,3
Marina Abramović,/en/marina-abramovic,born 1946,17
Petre Abrudan,/en/petre-abrudan,1907 - 1979,9
Absalon,/en/absalon,1964 - 1993,9
Carla Accardi,/en/carla-accardi,born 1924,19
Vito Acconci,/en/vito-acconci,born 1940,10
Paul Ackerman,/en/paul-ackerman,1908 - 1981,8
Norman Ackroyd,/en/norman-ackroyd,born 1938,16
Nutzi Acontz,/en/nutzi-acontz,1894 - 1957,14
Valerio Adami,/en/valerio-adami,born 1935,15
Ansel Adams,/en/ansel-adams,1902 - 1984,14
Bas Jan Ader,/en/bas-jan-ader,1942 - c.1975,10
Jankel Adler,/en/jankel-adler,1895 - 1949,15
Etel Adnan,/en/etel-adnan,born 1925,10
Gosta Adrian-Nilsson,/en/gosta-adrian-nilsson,1884 - 1965,58
Jef Aerosol,/en/jef-aerosol,born 1957,10
Pieter Aertsen,/en/pieter-aertsen,1508 - 1575,17
Afewerk Tekle,/en/afewerk-tekle,1932 - 2012,7
Nadir Afonso,/en/nadir-afonso,born 1920,29
Afro,/en/afro,1912 - 1976,33
Yaacov Agam,/en/yaacov-agam,born 1928,37
Eileen Agar,/en/eileen-agar,1899 - 1991,51
Aydin Aghdashloo,/en/aydin-aghdashloo,born 1940,39
Charuvi Agrawal,/en/charuvi-agrawal,born 1983,5
Gilles Aillaud,/en/gilles-aillaud,1928 - 2005,18
Ivan Aivazovsky,/en/ivan-aivazovsky,1817 - 1900,580
Roberto Aizenberg,/en/roberto-aizenberg,1922 - 1996,30
Abdul Qader Al Raes,/en/abdul-qader-al-raes,born 1951,17
Grace Albee,/en/grace-albee,1890 - 1985,25
Anni Albers,/en/anni-albers,1899 - 1994,28
Josef Albers,/en/josef-albers,1888 - 1976,57
Albert Aublet,/en/albert-aublet,born 1851,2
Leon Battista Alberti,/en/leon-battista-alberti,1404 - 1472,7
Mariotto Albertinelli,/en/mariotto-albertinelli,1474 - 1515,27
Olga Albizu,/en/olga-albizu,1924 - 2005,15
Ivan Albright,/en/ivan-albright,1897 - 1983,78
Lita Albuquerque,/en/lita-albuquerque,born 1946,10
Pierre Alechinsky,/en/pierre-alechinsky,born 1927,220
Fyodor Alekseyev,/en/fyodor-alekseyev,c.1753 - 1824,50
Leonardo Alenza,/en/leonardo-alenza,1807 - 1845,8
Alexander Bazhbeuk-Melikyan,/en/alexander-bazhbeuk-melikyan,1891 - 1966,6
Peter Alexander,/en/peter-alexander,born 1939,35
Alexandru Phoebus,/en/alexandru-phoebus,1899 - 1954,2
Alfredo Andersen,/en/alfredo-andersen,1860 - 1935,27
Hoca Ali Riza,/en/hoca-ali-riza,1858 - 1939,30
Alphonse Allais,/en/alphonse-allais,1854 - 1905,7
David Allan,/en/david-allan,1744 - 1796,45
Christian Wilhelm Allers,/en/christian-wilhelm-allers,1857 - 1915,22
Jose de Almada-Negreiros,/en/jose-de-almada-negreiros,1893 - 1970,33
Lara Almarcegui,/en/lara-almarcegui,born 1972,10
Sir Lawrence Alma-Tadema,/en/sir-lawrence-alma-tadema,1836 - 1912,198
Helena Almeida,/en/helena-almeida,born 1934,15
Carlos Alonso,/en/carlos-alonso,born 1929,13
Rudolf von Alt,/en/rudolf-von-alt,1812 - 1905,90
Ioannis Altamouras,/en/ioannis-altamouras,1852 - 1878,26
Albrecht Altdorfer,/en/albrecht-altdorfer,c.1480 - 1538,82
Nathan Altman,/en/nathan-altman,1889 - 1970,88
John Altoon,/en/john-altoon,1925 - 1969,8
Carsten Nicolai,/en/carsten-nicolai,born 1965,24
Hans am Ende,/en/hans-am-ende,1864 - 1918,10
Theodor Aman,/en/theodor-aman,1831 - 1891,28
Sidney Amaral,/en/sidney-amaral,1973 - 2017,6
Tarsila do Amaral,/en/tarsila-do-amaral,1886 - 1973,42
Pedro Américo,/en/pedro-americo,1843 - 1905,6
Cuno Amiet,/en/cuno-amiet,1868 - 1961,88
Rodolfo Amoedo,/en/rodolfo-amoedo,1857 - 1941,32
El Anatsui,/en/el-anatsui,born 1944,17
Anna Ancher,/en/anna-ancher,1859 - 1935,18
Ancient Egypt,/en/ancient-egyptian-painting,c.3150 BC - c.640 AD,165
Ancient Greek Painting and Sculpture,/en/ancient-greek-painting,c.700 - c.31 BC,70
Ancient Greek Pottery,/en/ancient-greek-pottery,c.900 - 31 BC,88
Sophie Gengembre Anderson,/en/sophie-gengembre-anderson,1823 - 1903,37
Edna Andrade,/en/edna-andrade,1917 - 2008,17
Carl Andre,/en/carl-andre,born 1935,0
Ion Andreescu,/en/ion-andreescu,1850 - 1882,30
Benny Andrews,/en/benny-andrews,born 1930,101 artwork
Angelo Zoffoli,/en/angelo-zoffoli,1860 - 1910,18
Octav Angheluta,/en/octav-angheluta,1904 - 1979,20
Charles Angrand,/en/charles-angrand,1854 - 1926,11
Sofonisba Anguissola,/en/sofonisba-anguissola,c.1532 - 1625,22
Albert Anker,/en/albert-anker,1831 - 1910,105
Jury Annenkov,/en/jury-annenkov,1889 - 1974,48
