artist,name,url,year,image,x
Ivan Aivazovsky,Coffee house by the Ortaköy Mosque in Constantinople,/en/ivan-aivazovsky/coffee-house-by-the-ortak%C3%B6y-mosque-in-constantinople-1846,1846.0,https://uploads8.wikiart.org/images/ivan-aivazovsky/coffee-house-by-the-ortaköy-mosque-in-constantinople-1846.jpg!Large.jpg,x
Rudolf von Alt,The Town Hall in Mödling,/en/rudolf-von-alt/the-town-hall-in-m%C3%B6dling-1842,1842.0,https://uploads6.wikiart.org/images/rudolf-von-alt/the-town-hall-in-mödling-1842.jpg!Large.jpg,x
Rudolf von Alt,The Town Hall in Mödling,/en/rudolf-von-alt/the-town-hall-in-m%C3%B6dling-1842-1,1842.0,https://uploads8.wikiart.org/images/rudolf-von-alt/the-town-hall-in-mödling-1842-1.jpg!Large.jpg,x
Rudolf von Alt,View from Buda Ferencáros,/en/rudolf-von-alt/view-from-buda-ferenc%C3%A1ros-1843,1843.0,https://uploads6.wikiart.org/images/rudolf-von-alt/view-from-buda-ferencáros-1843.jpg,x
Rudolf von Alt,Count Casimir Batthyány in his saloon at Castle Siklós,/en/rudolf-von-alt/count-casimir-batthy%C3%A1ny-in-his-saloon-at-castle-sikl%C3%B3s-1844,1844.0,https://uploads0.wikiart.org/images/rudolf-von-alt/count-casimir-batthyány-in-his-saloon-at-castle-siklós-1844.jpg!Large.jpg,x
Rudolf von Alt,View of Böckstein and the entrance to Anlauftal,/en/rudolf-von-alt/view-of-b%C3%B6ckstein-and-the-entrance-to-anlauftal-1875,1875.0,https://uploads2.wikiart.org/images/rudolf-von-alt/view-of-böckstein-and-the-entrance-to-anlauftal-1875.jpg!Large.jpg,x
Rudolf von Alt,"The Turkish Salon, Villa Hügel, Hietzing, Vienna",/en/rudolf-von-alt/the-turkish-salon-villa-h%C3%BCgel-hietzing-vienna-1877,1877.0,https://uploads0.wikiart.org/images/rudolf-von-alt/the-turkish-salon-villa-hügel-hietzing-vienna-1877.jpg!Large.jpg,x
Rudolf von Alt,Salon in the Apartment of Count Lanckoroński in Vienna,/en/rudolf-von-alt/salon-in-the-apartment-of-count-lanckoro%C5%84ski-in-vienna-1881,1881.0,https://uploads0.wikiart.org/images/rudolf-von-alt/salon-in-the-apartment-of-count-lanckoroński-in-vienna-1881.jpg!Large.jpg,x
Rudolf von Alt,Wegsäule Spinner at the cross,/en/rudolf-von-alt/wegs%C3%A4ule-spinner-at-the-cross,,https://uploads5.wikiart.org/images/rudolf-von-alt/wegsäule-spinner-at-the-cross.jpg,x
Giovanni Bellini,Pietà,/en/giovanni-bellini/pieta-1472,1472.0,https://uploads7.wikiart.org/images/giovanni-bellini/pietà-1472.jpg!Large.jpg,x
Bernardo Bellotto,"Dresden from the Right Bank of the Elbe, above the Augustusbrücke",/en/bernardo-bellotto/dresden-from-the-right-bank-of-the-elbe-above-the-augustusbr%C3%BCcke-1747,1747.0,https://uploads4.wikiart.org/images/bernardo-bellotto/dresden-from-the-right-bank-of-the-elbe-above-the-augustusbrücke-1747.jpg!Large.jpg,x
Bernardo Bellotto,New Market Square in Dresden from the Jüdenhof,/en/bernardo-bellotto/new-market-square-in-dresden-from-the-j%C3%BCdenhof,1750.0,https://uploads8.wikiart.org/images/bernardo-bellotto/new-market-square-in-dresden-from-the-jüdenhof.jpg!Large.jpg,x
Bernardo Bellotto,Courtyard of the Castle at Königstein from the South,/en/bernardo-bellotto/courtyard-of-the-castle-at-k%C3%B6nigstein-from-the-south-1756,1756.0,https://uploads1.wikiart.org/images/bernardo-bellotto/courtyard-of-the-castle-at-königstein-from-the-south-1756.jpg!Large.jpg,x
Bernardo Bellotto,"Imperial summer palace of Schönbrunn, garden façade",/en/bernardo-bellotto/imperial-summer-palace-of-sch%C3%B6nbrunn-garden-fa%C3%A7ade-1758,1758.0,https://uploads8.wikiart.org/images/bernardo-bellotto/imperial-summer-palace-of-schönbrunn-garden-façade-1758.jpg!Large.jpg,x
Bernardo Bellotto,Fantastic architecture with portrait of Franciszek Salezy Potocki and his son Stanisław Szcz0�sny,/en/bernardo-bellotto/fantastic-architecture-with-portrait-of-franciszek-salezy-potocki-and-his-son-stanis%C5%82aw-szcz0-1764,1764.0,https://uploads6.wikiart.org/images/bernardo-bellotto/fantastic-architecture-with-portrait-of-franciszek-salezy-potocki-and-his-son-stanisław-szcz0-1764.jpg!Large.jpg,x
Bernardo Bellotto,Ceiling decoration design of a hall in the Ujazdów Castle,/en/bernardo-bellotto/ceiling-decoration-design-of-a-hall-in-the-ujazd%C3%B3w-castle,1767.0,https://uploads1.wikiart.org/images/bernardo-bellotto/ceiling-decoration-design-of-a-hall-in-the-ujazdów-castle.jpg!Large.jpg,x
Bernardo Bellotto,Wilanów Palace seen from the entrance,/en/bernardo-bellotto/wilan%C3%B3w-palace-seen-from-the-entrance-1776,1776.0,https://uploads3.wikiart.org/images/bernardo-bellotto/wilanów-palace-seen-from-the-entrance-1776.jpg,x
Bernardo Bellotto,Wilanów Palace seen from the garden,/en/bernardo-bellotto/wilan%C3%B3w-palace-seen-from-the-garden-1776,1776.0,https://uploads1.wikiart.org/images/bernardo-bellotto/wilanów-palace-seen-from-the-garden-1776.jpg,x
Bernardo Bellotto,Wilanów Palace as seen from north east,/en/bernardo-bellotto/wilanow-palace-as-seen-from-north-east-1777,1777.0,https://uploads5.wikiart.org/images/bernardo-bellotto/wilanów-palace-as-seen-from-north-east-1777.jpg!Large.jpg,x
Bernardo Bellotto,Długa Street,/en/bernardo-bellotto/d%C5%82uga-street-1778,1778.0,https://uploads6.wikiart.org/images/bernardo-bellotto/długa-street-1778.jpg!Large.jpg,x
Bernardo Bellotto,View of Cracow Suburb from Nowy Świat street,/en/bernardo-bellotto/view-of-cracow-suburb-from-nowy-%C5%9Bwiat-street-1778,1778.0,https://uploads1.wikiart.org/images/bernardo-bellotto/view-of-cracow-suburb-from-nowy-świat-street-1778.jpg,x
Joseph Beuys,"Action, Agit-Pop, De-Coll/age, Happenings, Events, L'Autrisme, Art Total, Re-Fluxus",/en/joseph-beuys/action-agit-pop-de-coll-age-happenings-events-l-autrisme-art-total-re-fluxus-1964-1,1964.0,https://uploads8.wikiart.org/images/joseph-beuys/actions-agit-pop-dй-coll-age-happenings-events-anti-art-l-autrisme-art-total-re.jpg,x
Vladimir Borovikovsky,Portrait of Alexeï Ivanovitch Vassiliev,/en/vladimir-borovikovsky/portrait-of-alexe%C3%AF-ivanovitch-vassiliev-1800,1800.0,https://uploads0.wikiart.org/images/vladimir-borovikovsky/portrait-of-alexeï-ivanovitch-vassiliev-1800.jpg,x
Sandro Botticelli,Serie von vier Gemälden zum Leben des Hl. Zenobius von Florenz,/en/sandro-botticelli/serie-von-vier-gem%C3%A4lden-zum-leben-des-hl-zenobius-von-florenz-1505,1505.0,https://uploads4.wikiart.org/images/sandro-botticelli/serie-von-vier-gemälden-zum-leben-des-hl-zenobius-von-florenz-1505(1).jpg!Large.jpg,x
Francois Boucher,Portrait of Louis Philippe of Orléans,/en/francois-boucher/portrait-of-louis-philippe-of-orl%C3%A9ans,1750.0,https://uploads7.wikiart.org/images/francois-boucher/portrait-of-louis-philippe-of-orléans.jpg!Large.jpg,x
Francois Boucher,Landscape with Kirschpflückerin,/en/francois-boucher/landscape-with-kirschpfl%C3%BCckerin-1768,1768.0,https://uploads6.wikiart.org/images/francois-boucher/landscape-with-kirschpflückerin-1768.jpg!Large.jpg,x
Eugene Boudin,The Farm in Saint Siméon,/en/eugene-boudin/the-farm-in-saint-sim%C3%A9on,1850.0,https://uploads0.wikiart.org/images/eugene-boudin/the-farm-in-saint-siméon.jpg!Large.jpg,x
Eugene Boudin,The Farm in Saint Siméon,/en/eugene-boudin/the-farm-in-saint-sim%C3%A9on-1856,1856.0,https://uploads4.wikiart.org/images/eugene-boudin/the-farm-in-saint-siméon-1856.jpg,x
Eugene Boudin,Forgiveness in the St. Anne chapel at Palud Plonévez Porzay (Finistère),/en/eugene-boudin/forgiveness-in-the-st-anne-chapel-at-palud-plonevez-porzay-finistere-1858,1858.0,https://uploads3.wikiart.org/images/eugene-boudin/forgiveness-in-the-st-anne-chapel-at-palud-plonévez-porzay-finistère-1858.jpg,x
Eugene Boudin,Channel at Allèe Verte in Brussels,/en/eugene-boudin/channel-at-all%C3%A8e-verte-in-brussels-1871,1871.0,https://uploads6.wikiart.org/images/eugene-boudin/channel-at-allèe-verte-in-brussels-1871.jpg!Large.jpg,x
William-Adolphe Bouguereau,Portrait of Léonie Bouguereau,/en/william-adolphe-bouguereau/portrait-of-l%C3%A9onie-bouguereau-1850,1850.0,https://uploads5.wikiart.org/images/william-adolphe-bouguereau/portrait-of-léonie-bouguereau-1850.jpg!Large.jpg,x
Georges Braque,The Church of Carrières-Saint-Denis,/en/georges-braque/the-church-of-carri%C3%A8res-saint-denis-1909,1909.0,https://uploads8.wikiart.org/images/georges-braque/the-church-of-carrières-saint-denis-1909.jpg!Large.jpg,x
Georges Braque,The Park at Carrières-Saint-Denis,/en/georges-braque/the-park-at-carri%C3%A8res-saint-denis-1909,1909.0,https://uploads6.wikiart.org/images/georges-braque/the-park-at-carrières-saint-denis-1909.jpg!Large.jpg,x
David Burliuk,Spring Village,/en/david-burliuk/spring-village-1919-1,1919.0,https://uploads3.wikiart.org/images/david-burliuk/деревня-весной-1919.jpg,x
David Burliuk,Сarousel,/en/david-burliuk/%D1%81arousel-1921,1921.0,https://uploads6.wikiart.org/images/david-burliuk/сarousel-1921.jpg,x
David Burliuk,Dead End café,/en/david-burliuk/dead-end-caf%C3%A9-1948,1948.0,https://uploads2.wikiart.org/images/david-burliuk/dead-end-café-1948.jpg,x
Gustave Caillebotte,"Yerres, Part of the South Façade of the Casin",/en/gustave-caillebotte/yerres-part-of-the-south-fa%C3%A7ade-of-the-casin,1878.0,https://uploads8.wikiart.org/images/gustave-caillebotte/yerres-part-of-the-south-façade-of-the-casin.jpg!Large.jpg,x
Robert Campin,The Mérode Altarpiece,/en/robert-campin/the-m%C3%A9rode-altarpiece-1428,1428.0,https://uploads2.wikiart.org/images/robert-campin/the-mérode-altarpiece-1428.jpg!Large.jpg,x
